,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,35893.0,35893.0,35893.0,35893.0,35893.0,35893.0,35893.0,35893.0
mean,0.31631948248439284,0.22833171029118993,0.33426186730497176,0.4579444746885492,0.3694838647178923,0.839013152065939,0.9340106370936093,0.00620426789365771
std,0.38233390356305474,0.2817481387862253,0.37896949587642315,0.29557922151309196,0.2446204500573755,0.31242174935608724,0.0970406388585941,0.011331994825935393
min,0.0,0.0,0.0,0.0,0.0,-0.7528952956199646,0.2522251009941101,0.0
25%,0.0,0.0,1.0547686614863434e-154,0.3238131789473377,0.2862435377993726,0.8838849067687988,0.915511667728424,0.0
50%,0.2352941176470588,0.1666666666666666,1.2213386697554703e-77,0.4220624613481755,0.3439818861693861,0.984634816646576,0.9684791564941406,0.0017825961112976
75%,0.5,0.3333333333333333,0.6582199215756274,0.5909090909090909,0.4462914862914864,0.9999999403953552,0.9999998807907104,0.0080353617668151
max,8.0,11.0,1.0,1.0,1.0,1.000000238418579,1.0000004768371582,0.2587155699729919
