,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,37210.0,37210.0,37210.0,37210.0,37210.0,37210.0,37210.0,37210.0
mean,0.3909852600777327,0.2691516552471022,0.3342363644149936,0.4119699557437642,0.33307573906821913,0.7851198269074317,0.9196127671567191,0.005591496037911458
std,0.49736880773491715,0.36280344348658833,0.4007898817403985,0.29938582168863903,0.24764245587871336,0.3620238787603159,0.10719638672723746,0.009782747618349364
min,0.0,0.0,0.0,0.0,0.0,-0.7097079753875732,0.2527000308036804,0.0
25%,0.0,0.0,1.8218319894453417e-231,0.2668199855699856,0.24520555526989346,0.7679307013750076,0.8742155879735947,0.0
50%,0.2272727272727272,0.1666666666666666,6.86809206056511e-78,0.4026633089133089,0.33264684798114014,0.9884440004825592,0.968588262796402,0.00102472305297845
75%,0.6,0.4,0.7366140739862848,0.5769230769230769,0.4222222222222222,0.9999999403953552,0.9999997615814208,0.007644072175025875
max,18.666666666666668,11.0,1.0,1.0,1.0,1.0000003576278689,1.0000004768371582,0.2695735692977905
